"SEQ","JFAGY code","Allergen Term（JP）","Furigana（JP）","Allergen Term（EN）","Level","Main 100","Clinical Guideline","変更区分","収載日","終了日"
"259","GCM1190402A1ZZZ","【成分名】ナタリズマブ（遺伝子組換え）","","","1","","","1","00000000","99999999"
"260","GCM1190403A1ZZZ","【成分名】ヌシネルセンナトリウム","","","1","","","1","00000000","99999999"
"261","GCM1190404G1ZZZ","【成分名】ガルカネズマブ（遺伝子組換え）","","","1","","","1","00000000","99999999"
"262","GCM1190405G1ZZZ","【成分名】オファツムマブ（遺伝子組換え）","","","1","","","1","00000000","99999999"
"263","GCM1190406G1ZZZ","【成分名】エレヌマブ（遺伝子組換え）","","","1","","","1","00000000","99999999"
"264","GCM1190407G1ZZZ","【成分名】フレマネズマブ（遺伝子組換え）","","","1","","","1","00000000","99999999"
"265","GCM1190408A1ZZZ","【成分名】レカネマブ（遺伝子組換え）","","","1","","","1","00000000","99999999"
"266","GCM1190700S1ZZZ","【成分名】リバスチグミン","","","1","","","1","00000000","99999999"
"267","GCM1190701S1ZZZ","【成分名】ドネペジル","","","1","","","1","00000000","99999999"
"268","GCM1211400D2ZZZ","【成分名】テトラカイン塩酸塩","","","1","","","1","00000000","99999999"
